"Index" "FTSE.Close" "GSPC.Close" "NDX.Close" "N225.Close" "MERV.Close"
2007-01-01 6220.799805 NA NA NA NA
2007-01-02 6310.899902 NA NA NA 2139.139893
2007-01-03 6319 1416.599976 1759.369995 NA 2097.550049
2007-01-04 6287 1418.339966 1792.910034 17353.669922 2073.080078
2007-01-05 6220.100098 1409.709961 1785.300049 17091.589844 2063.879883
2007-01-08 6194.200195 1412.839966 1787.140015 NA 2070.51001
2007-01-09 6196.100098 1412.109985 1795.630005 17237.769531 2014.01001
2007-01-10 6160.700195 1414.849976 1816.150024 16942.400391 2044.079956
2007-01-11 6230.100098 1423.819946 1834.859985 16838.169922 2043.01001
2007-01-12 6239 1430.72998 1844.810059 17057.009766 2072.620117
2007-01-15 6263.5 NA NA 17209.919922 2083.389893
2007-01-16 6215.700195 1431.900024 1842.439941 17202.460938 2071.030029
2007-01-17 6204.5 1430.619995 1827.680054 17261.349609 2055.379883
2007-01-18 6210.299805 1426.369995 1793.680054 17370.929688 2024.569946
2007-01-19 6237.200195 1430.5 1796.810059 17310.439453 2037.319946
2007-01-22 6218.399902 1422.949951 1779.02002 17424.179688 2043.73999
2007-01-23 6227.600098 1427.98999 1773.400024 17408.570312 2055.389893
2007-01-24 6314.799805 1440.130005 1802.630005 17507.400391 2070.620117
2007-01-25 6269.299805 1423.900024 1777.75 17458.300781 2044.030029
2007-01-26 6228 1422.180054 1772.969971 17421.929688 2039.459961
2007-01-29 6239.899902 1420.619995 1775.079956 17470.460938 2022.27002
2007-01-30 6242 1428.819946 1777.76001 17490.189453 2047.869995
2007-01-31 6203.100098 1438.23999 1792.280029 17383.419922 2070.639893
2007-02-01 6282.200195 1445.939941 1791.449951 17519.5 2081.530029
2007-02-02 6310.899902 1448.390015 1798.130005 17547.109375 2081.27002
2007-02-05 6317.899902 1446.98999 1795.390015 17344.800781 2076.209961
2007-02-06 6346.299805 1448 1793.060059 17406.859375 2100.649902
2007-02-07 6369.5 1450.02002 1810.949951 17292.320312 2100.080078
2007-02-08 6346.399902 1448.310059 1810.540039 17292.480469 2105.919922
2007-02-09 6382.799805 1438.060059 1785.530029 17504.330078 2100.23999
2007-02-12 6353.5 1433.369995 1778.420044 NA 2100.51001
2007-02-13 6381.799805 1444.26001 1783.819946 17621.449219 2115.570068
2007-02-14 6421.200195 1455.300049 1814.97998 17752.640625 2129.939941
2007-02-15 6433.299805 1456.810059 1823.410034 17897.230469 2132.649902
2007-02-16 6419.5 1455.540039 1821.48999 17875.650391 2145.48999
2007-02-19 6444.399902 NA NA 17940.089844 2188.590088
2007-02-20 6412.299805 1459.680054 1833.709961 17939.119141 2206.030029
2007-02-21 6357.100098 1457.630005 1839.130005 17913.210938 2203.23999
2007-02-22 6380.899902 1456.380005 1846.339966 18108.789062 2204.22998
2007-02-23 6401.5 1451.189941 1839.77002 18188.419922 2202.449951
2007-02-26 6434.700195 1449.369995 1830.589966 18215.349609 2219.01001
2007-02-27 6286.100098 1399.040039 1756.27002 18119.919922 2052.780029
2007-02-28 6171.5 1406.819946 1761.599976 17604.119141 2067.639893
2007-03-01 6116 1403.170044 1753.449951 17453.509766 2038.589966
2007-03-02 6116.200195 1387.170044 1726.030029 17217.929688 1997.640015
2007-03-05 6058.700195 1374.119995 1712.939941 16642.25 1944.119995
